-1, 1427
-2, 3796
-2, 2809
-1, 2865
-2, 656
-1, 468
6, 362
6, 325
5, 2813
5, 1622
0, 2206
6, 259
-1, 2213
4, 1438
-2, 1057
-3, 293
-3, 168
0, 3714
-1, 365
-1, 1061
5, 1093
-2, 2482
-1, 355
5, 1141
0, 635
-1, 1311
-3, 1180
-2, 13052
-2, 419
6, 1449
6, 2640
6, 1835
-3, 269
6, 816
5, 814
-1, 407
0, 658
6, 778
-1, 3273
-1, 2428
-5, 3325
0, 3354
-1, 859
-1, 3210
5, 1122
6, 1732
-1, 531
4, 463
5, 716
-1, 1052
-1, 4207
-3, 537
-2, 4206
-1, 901
-1, 656
-2, 1012
4, 2641
-1, 2476
6, 191
0, 1769
0, 1398
5, 1853
-1, 679
4, 699
5, 2840
-3, 1392
-2, 801
6, 559
-1, 1428
-1, 2511
-2, 1603
-1, 1482
6, 4829
-3, 1178
4, 3879
-2, 2175
6, 2126
6, 3397
-1, 1860
-2, 2091
0, 768
-1, 196
6, 3080
6, 303
5, 1089
-1, 384
5, 1129
6, 1604
-2, 429
5, 2954
-4, 1561
-3, 195
-4, 824
6, 970
5, 689
5, 1163
0, 5101
-3, 861
-2, 5283
0, 1693
6, 1101
-3, 1691
0, 450
-2, 2919
4, 3275
-2, 2197
6, 613
-2, 442
-5, 2639
-2, 1004
-2, 421
0, 229
-3, 1744
0, 2372
0, 1646
-2, 525
-1, 4427
-2, 1958
-1, 1059
-2, 1429
0, 747
0, 552
4, 3463
0, 591
-1, 2386
6, 949
-1, 11333
6, 669
-3, 716
-4, 464
-2, 659
-1, 417
5, 729
4, 3928
-1, 4086
6, 4485
-3, 427
-2, 3956
-4, 911
-2, 611
0, 2476
6, 1824
0, 781
-3, 1658
0, 1421
-4, 294
6, 761
-2, 6168
0, 2268
0, 577
-1, 1114
-4, 756
4, 6314
4, 1118
0, 846
5, 247
-1, 2336
5, 1776
0, 1277
6, 1081
-3, 1933
4, 946
4, 4768
4, 1568
-3, 355
-1, 451
6, 1335
-2, 2117
-4, 276
-1, 641
-1, 496
0, 1881
6, 2603
-1, 500
-3, 1401
0, 315
5, 771
-2, 1614
-1, 1213
6, 5993
0, 2057
0, 1530
6, 305
-1, 1414
-2, 324
6, 690
6, 713
0, 3515
4, 1675
-1, 1771
-1, 1770
-1, 408
0, 2075
-3, 358
6, 2257
-3, 1493
-5, 1805
-1, 224
4, 375
0, 580
-1, 470
6, 3577
0, 558
0, 3780
-2, 1615
6, 659
4, 1362
5, 565
5, 4371
5, 3211
0, 4006
-1, 2715
-4, 2274
6, 1163
0, 674
-1, 686
0, 1289
-1, 670
6, 492
-3, 2178
5, 2709
-1, 677
6, 649
-2, 5603
-3, 1200
5, 1535
-4, 401
6, 1494
4, 1365
6, 2045
0, 4702
-2, 1406
0, 3868
6, 1488
4, 923
0, 3874
5, 2242
-1, 1619
-5, 1014
-2, 4923
0, 1225
-1, 1377
-1, 2845
-3, 3176
-1, 2389
-1, 1879
5, 583
4, 4761
0, 7098
4, 1738
0, 3433
-5, 181
4, 2365
6, 1419
6, 923
0, 1738
-5, 4195
6, 916
-4, 324
5, 733
4, 5948
5, 3332
4, 731
-1, 402
-2, 1851
0, 797
-1, 222
6, 1094
-1, 1602
5, 754
-3, 449
-4, 2344
4, 2381
-1, 2286
-2, 680
-1, 505
-1, 373
-2, 2332
-1, 1852
-2, 836
0, 6465
-2, 1695
5, 340
6, 2570
0, 1072
4, 1140
6, 3180
6, 613
5, 2561
-3, 2589
6, 627
-1, 2163
-5, 462
5, 2509
-2, 668
0, 1782
-1, 1694
-2, 2227
-2, 5007
5, 2050
0, 2560
0, 744
4, 960
-2, 2136
0, 500
5, 197
0, 1434
6, 7132
0, 355
0, 1135
6, 8054
-2, 637
-1, 1748
6, 1356
5, 686
5, 558
6, 1630
0, 4608
0, 1398
-2, 1651
-2, 2741
6, 866
-1, 1147
-1, 2555
-1, 2182
0, 2510
-4, 861
0, 2699
-1, 2123
0, 225
4, 1584
-1, 1785
6, 703
-1, 1576
-1, 1843
0, 445
0, 2983
5, 1331
4, 3823
5, 2355
0, 4361
4, 2429
-3, 917
0, 1349
4, 617
6, 1272
0, 1211
4, 1466
-1, 3456
-1, 1058
-4, 1502
-3, 454
-1, 859
0, 1597
-3, 3028
-3, 1015
6, 1336
0, 2362
5, 3517
6, 2472
0, 524
0, 1169
-4, 959
4, 292
5, 1946
5, 2143
-1, 3504
6, 1307
-2, 369
4, 2130
